Date,Brand Name,Country,Gross Sales,Net Sales,Total Sales,Total Ad Spend,Order Count,Return Amount,Sessions,Transactions,Revenue,Profit,ROAS,CPA,CTR,CPC,ConvRate,Valid_ROAS,Valid_CPA,Predicted_ROAS,Recommended_Budget_LP
2024-02-25,Brand E,Japan,5550.0,22027.0,22048.0,0.24,8,2258,0.0,0.0,0.0,22047.76,91866.66666666667,0.03,0.0,0.0,0.0,True,True,53851.70454929991,1000.0
2024-04-01,Brand D,USA,45757.0,19143.0,35271.0,477.40176,8,4619,0.0,0.0,0.0,34793.59824,73.88116876653324,59.67522,0.0,0.0,0.0,True,True,67.38764747075638,0.0
2024-04-01,Brand A,USA,46965.0,13846.0,18712.0,5352.33,5,11934,0.0,0.0,0.0,13359.67,3.496047515754821,1070.466,0.0,0.0,0.0,True,True,3.5077949558943713,0.0
2024-04-01,Brand B,USA,37869.0,33167.0,21299.0,7138.155287,4,2894,0.0,0.0,0.0,14160.844713,2.9838241315357363,1784.53882175,0.0,0.0,0.0,True,True,2.9813222348294808,0.0
2024-04-01,Brand C,USA,16478.0,16567.0,6799.0,10517.1013,6,16442,0.0,0.0,0.0,-3718.1013000000003,0.6464709054385546,1752.8502166666667,0.0,0.0,0.0,True,True,0.6473493358121211,0.0
2024-03-31,Brand D,USA,49174.0,33921.0,29042.0,1042.9708,9,17870,0.0,0.0,0.0,27999.0292,27.845458377166455,115.88564444444445,0.0,0.0,0.0,True,True,29.952326977563033,0.0
2024-03-31,Brand A,USA,35341.0,28168.0,36141.0,4571.78,10,2805,0.0,0.0,0.0,31569.22,7.905236034979811,457.178,0.0,0.0,0.0,True,True,7.941100768015471,0.0
2024-03-31,Brand D,USA,17827.0,23374.0,34984.0,6270.1442,10,14078,0.0,0.0,0.0,28713.8558,5.579457008341212,627.01442,0.0,0.0,0.0,True,True,5.595166842773091,0.0
2024-03-31,Brand C,USA,12602.0,34288.0,31211.0,11001.3075,4,15886,0.0,0.0,0.0,20209.692499999997,2.8370264170872415,2750.326875,0.0,0.0,0.0,True,True,2.8078248195202518,0.0
2024-03-31,Brand A,USA,26891.0,36628.0,33552.0,5040.41862,9,3303,0.0,0.0,0.0,28511.58138,6.656589963950256,560.0465133333333,0.0,0.0,0.0,True,True,6.628276790670505,0.0
2024-03-31,Brand B,USA,24505.0,10886.0,7197.0,7667.069362,4,6035,0.0,0.0,0.0,-470.0693620000002,0.9386898253027699,1916.7673405,0.0,0.0,0.0,True,True,0.9372450245154081,0.0
2024-03-31,Brand E,USA,33398.0,32081.0,19491.0,193.68,2,10056,0.0,0.0,0.0,19297.32,100.63506815365551,96.84,0.0,0.0,0.0,True,True,131.01737243999983,0.0
2024-03-24,Brand A,USA,8393.0,35662.0,10064.0,3645.2931,2,17182,0.0,0.0,0.0,6418.7069,2.7608205222235767,1822.64655,0.0,0.0,0.0,True,True,2.765645432456562,0.0
2024-03-30,Brand A,USA,35739.0,16549.0,27348.0,5024.93,1,9612,0.0,0.0,0.0,22323.07,5.4424638751186585,5024.93,0.0,0.0,0.0,True,True,5.43616724584057,0.0
2024-03-30,Brand D,USA,48765.0,13606.0,38949.0,6880.54382,9,13179,0.0,0.0,0.0,32068.45618,5.6607444148215595,764.5048688888888,0.0,0.0,0.0,True,True,5.658755913414359,0.0
2024-03-30,Brand D,USA,40947.0,36014.0,20213.0,6321.1084,1,2985,0.0,0.0,0.0,13891.891599999999,3.1976986820855657,6321.1084,0.0,0.0,0.0,True,True,3.181765676776715,0.0
2024-03-30,Brand B,USA,6703.0,17798.0,6530.0,5518.62,1,15578,0.0,0.0,0.0,1011.3800000000001,1.1832668312005539,5518.62,0.0,0.0,0.0,True,True,1.1976663279037825,0.0
2024-03-30,Brand A,USA,16424.0,18213.0,38815.0,4767.61,5,6694,0.0,0.0,0.0,34047.39,8.14139579369957,953.5219999999999,0.0,0.0,0.0,True,True,8.248600755621865,0.0
2024-03-30,Brand E,USA,5142.0,13572.0,15195.0,7775.66,6,9697,0.0,0.0,0.0,7419.34,1.9541749510652473,1295.9433333333334,0.0,0.0,0.0,True,True,1.950546183958359,0.0
2024-03-30,Brand A,USA,27579.0,22119.0,21273.0,5467.32992,3,3851,0.0,0.0,0.0,15805.67008,3.8909303647803277,1822.4433066666668,0.0,0.0,0.0,True,True,3.899376648645165,0.0
2024-03-30,Brand E,USA,26051.0,16631.0,33965.0,1909.35,4,2453,0.0,0.0,0.0,32055.65,17.78877628512321,477.3375,0.0,0.0,0.0,True,True,17.711425263527726,0.0
2024-03-30,Brand C,USA,43136.0,15654.0,34856.0,14192.0887,7,2026,0.0,0.0,0.0,20663.9113,2.4560162169786888,2027.441242857143,0.0,0.0,0.0,True,True,2.4668110720184573,0.0
2024-03-29,Brand D,USA,32212.0,27718.0,10001.0,6330.05912,9,7598,0.0,0.0,0.0,3670.94088,1.579922052923891,703.3399022222222,0.0,0.0,0.0,True,True,1.5782333320885207,0.0
2024-03-29,Brand C,USA,16452.0,17772.0,39171.0,14603.0558,8,13922,0.0,0.0,0.0,24567.944199999998,2.682383778880034,1825.381975,0.0,0.0,0.0,True,True,2.740048088415025,0.0
2024-03-29,Brand E,USA,20026.0,26032.0,23858.0,8230.45,3,5606,0.0,0.0,0.0,15627.55,2.898747942093081,2743.4833333333336,0.0,0.0,0.0,True,True,2.9383874513257746,0.0
2024-03-31,Brand C,USA,6928.0,35847.0,28782.0,11084.4418,9,465,0.0,0.0,0.0,17697.5582,2.5966124879648875,1231.6046444444446,0.0,0.0,0.0,True,True,2.5908224488754836,0.0
2024-04-04,Brand A,USA,16576.0,37275.0,26748.0,1052.59,6,1686,0.0,0.0,0.0,25695.41,25.411603758348456,175.43166666666664,0.0,0.0,0.0,True,True,24.675362656113343,0.0
2024-04-04,Brand C,USA,22581.0,32177.0,20343.0,9711.8569,3,2851,0.0,0.0,0.0,10631.1431,2.0946560693249094,3237.2856333333334,0.0,0.0,0.0,True,True,2.1994474965268087,0.0
2024-04-04,Brand A,USA,27444.0,27756.0,7506.0,1091.43,7,17462,0.0,0.0,0.0,6414.57,6.87721612929826,155.91857142857143,0.0,0.0,0.0,True,True,8.930689680732002,0.0
2024-04-03,Brand C,USA,16912.0,29612.0,22711.0,9413.3475,1,16496,0.0,0.0,0.0,13297.6525,2.412638012141802,9413.3475,0.0,0.0,0.0,True,True,2.409673735232806,0.0
2024-04-03,Brand A,USA,41328.0,9823.0,19269.0,1161.39,1,15766,0.0,0.0,0.0,18107.61,16.59132591119262,1161.39,0.0,0.0,0.0,True,True,18.38041894756975,0.0
2024-04-03,Brand C,USA,10897.0,14799.0,12837.0,6981.848971,3,16399,0.0,0.0,0.0,5855.151029,1.8386247043326367,2327.2829903333336,0.0,0.0,0.0,True,True,1.8465602056340469,0.0
2024-04-03,Brand D,USA,5373.0,18507.0,34243.0,6946.0178,7,14723,0.0,0.0,0.0,27296.9822,4.92987507172815,992.2882571428571,0.0,0.0,0.0,True,True,4.917348235609989,0.0
2024-04-03,Brand D,USA,34324.0,11174.0,8086.0,8592.7876,1,12906,0.0,0.0,0.0,-506.78759999999966,0.9410217471219701,8592.7876,0.0,0.0,0.0,True,True,0.9388246073233688,0.0
2024-04-03,Brand C,USA,11977.0,38055.0,18012.0,10550.6277,5,15447,0.0,0.0,0.0,7461.372300000001,1.7071970040228035,2110.12554,0.0,0.0,0.0,True,True,1.7439070280521556,0.0
